Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
2345374,BAR MARTA,HERITAGE,2263375,Restaurant,Risk 1 (High),2700 W CHICAGO AVE ,CHICAGO,IL,60622,2019-11-08T00:00:00.000,Canvass,No Entry,,41.89577762053548,-87.69430043757517,"{'longitude': '41.89577762053548', 'latitude': '-87.69430043757517'}",,,,,
2345318,SUBWAY,SUBWAY,2529116,Restaurant,Risk 1 (High),2620 N NARRAGANSETT AVE ,CHICAGO,IL,60639,2019-11-08T00:00:00.000,Canvass Re-Inspection,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O)  OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES. MANAGEMENT INSTRUCTED TO HAVE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE. PRIORITY FOUNDATION 7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11  OBSERVED NO CLEAN UP PROCEDURE AND SUPPLIES ON THE PREMISES TO RESPOND TO VOMIT AND DIARRHEAL EVENTS. MANAGEMENT INSTRUCTED TO PROVIDE BOTH. PRIORITY FOUNDATION 7-38-005. NO CITATION ISSUED. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13  OBSERVED THE CERTIFIED FOOD MANAGER WITHOUT AN ALLERGEN TRAINING CERTIFICATE. MANAGEMENT INSTRUCTED THAT ALL CERTIFIED FOOD MANAGERS MUST SHOW PROOF OF TRAINING.",41.92799528871574,-87.78575236468352,"{'longitude': '41.92799528871574', 'latitude': '-87.78575236468352'}",,,,,
2345314,DUNKIN DONUTS,DUNKIN DONUTS,2642143,Restaurant,Risk 2 (Medium),3256 S ASHLAND AVE ,CHICAGO,IL,60608,2019-11-08T00:00:00.000,Complaint Re-Inspection,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVER ON THE WOMENS RESTROOM TRASH CONTAINER, INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE SOUTHWEST CORNER OF THE BUILDING OUTSIDE AND INSIDE REAR STORAGE AREA WALLS NOT REPAIRED(TEMPORARY WALLS IN PLACE TO KEEP RODENTS OUT), INSTRUCTED TO REPAIR THESE WALLS.",41.83421149296097,-87.66580031837047,"{'longitude': '41.83421149296097', 'latitude': '-87.66580031837047'}",,,,,
2345334,LA MICHOACANA  ICE CREAM SHOP,LA MICHOACANA ICE CREAM SHOP,2698396,Restaurant,Risk 1 (High),3591-3597 N MILWAUKEE AVE ,CHICAGO,IL,60641,2019-11-08T00:00:00.000,License,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: FOUND NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES. MANAGEMENT INSTRUCTED TO PROVIDE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE. PRIORITY FOUNDATION 7-38-010,NO CITATION ISSUED.  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS ON SITE BUT HAS IN-COMPLETE CLEAN-UP ITEMS/KIT. INSTRUCTED TO PROVIDE AND MAINTAIN APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER THAT KILLS NOROVIRUS).PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. - | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO SINK FOR FOOD PREPARATION AT FRONT PREP AREA WHERE FRESH FRUIT SQUEEZED JUICES,MILK SHAKES,SMOOTHIES WILL BE MADE TO ORDER. MUST INSTALL AND MAINTAIN.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER (S) WITH NO PROOF OF FOOD HANDLER TRAINING. INSTRUCTED TO PROVIDE. INFORMATION GIVEN. ",41.94614005344282,-87.73518301995274,"{'longitude': '41.94614005344282', 'latitude': '-87.73518301995274'}",,,,,
2345339,THE CREPE SHOP,THE CREPE SHOP,2699005,Restaurant,Risk 1 (High),2934 N BROADWAY ,CHICAGO,IL,60657,2019-11-08T00:00:00.000,License,Fail,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NOTED NO HAND WASH SINK THE DISH WASHING AREA AT THE REAR. ADDITIONAL HAND WASH SINK NEEDED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: NOTED A LARGE OPEN AREA BETWEEN THE PREP AREA AND THE CUSTOMERS. INSTRUCTED TO PROVIDE A BARRIER BETWEEN THE PREP AREA AND THE CUSTOMER AREA. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: NOTED PREMISE USING A HIGH TEMPERATURE DISH WASHER WITH GAUGE READING 184F; HOWEVER NOTED NO TEMPERATURE TEST STRIPS. INSTRUCTED TO PROVIDE AND IRREVERSIBLE REGISTERING TEMPERATURE INDICATOR, STRIPS/STICKERS. PRIORITY FOUNDATION #7-38-005. NO CITATION ISSUED TODAY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACK FLOW PREVENTION DEVICES NOT LOCATED AT THE UTILITY SINK. MUST INSTALL BACK FLOW PREVENTION DEVICES MAY BE LOCATED TO BE SERVICED AND MAINTAINED OR HAVE A FIXED AIR GAP FOR THE UTILITY SINK. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED WASH ROOMS ON PREMISE WITH GARBAGE RECEPTACLES AND NO LIDS. INSTRUCTED TO PROVIDE TRASH CANS WITH LIDS AT ALL WOMEN WASH ROOMS AND UNISEX WASH ROOMS | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED ROUGH AND UNFINISHED BRICK WALLS BEHIND THE BATHROOM. INSTRUCTED TO REFINISH WALLS TO BE SMOOTH AND EASILY CLEANABLE.",41.93592957402078,-87.64440716256712,"{'longitude': '41.93592957402078', 'latitude': '-87.64440716256712'}",,,,,
2345333,CENTRO INFANTIL CONSUELO LEE CORRETJER,CENTRO INFANTIL,2523388,Children's Services Facility,Risk 1 (High),1345 N Rockwell ST ,CHICAGO,IL,60622,2019-11-08T00:00:00.000,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED REAR EXIT DOOR NOT RODENT PROOF DOOR HAS APPROXIMATELY ONE INCH OPENING ON BOTTOM DOOR. MUST REPAIR AND MAINTAIN TO PREVENT PEST ENTRY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: ADDITIONAL WATER PRESSURE NEEDED AT THE HAND WASHING SINK IN CLASSROOM VEJIGANTE. MUST PROVIDE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE LIDS FOR GARBAGE CANS IN ADULT WASHROOMS AND MUST MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT AND DEBRIS ON FLOOR BEHIND WALK-IN COOLER AND MUST REMOVE TYPE FROM THE FLOOR IN REAR PREP AREA.MUST CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED HEAVY DUST BUILD UP ON CEILING VENTILATION VENTS INSIDE ALL WASHROOMS. MUST CLEAN AND MAINTAIN.",41.90616869303772,-87.6918862486702,"{'longitude': '41.90616869303772', 'latitude': '-87.6918862486702'}",,,,,
2345317,FAMOSA BAKERY,FAMOSA BAKERY,34128,Bakery,Risk 2 (Medium),2747 W 55TH ST ,CHICAGO,IL,60632,2019-11-08T00:00:00.000,Canvass,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE VERIFIABLE EMPLOYEE ACKNOWLEDGED HEALTH POLICY. PRIORITY FOUNDATION 7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROVIDE PROCEDURE AND NECESSARY SUPPLIES. PRIORITY FOUNDATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OVER 50 MICE DROPPINGS SCATTERED ON FLOOR ALONG BASE AND STORAGE SHELVES IN REAR. INSTD TO REMOVE ALL DROPPINGS, CLEAN AND SANITIZE AFFECTED AREAS AND CONTACT PEST CONTROL FOR SERVICE. PRIORITY FOUNDATION 7-38-020(A) CITATION ISSUED. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FEMALE EMPLOYEE MISSING PROOF OF FOOD HANDLER TRAINING. INSTD TO PROVIDE.",41.793590887821004,-87.69322807775377,"{'longitude': '41.793590887821004', 'latitude': '-87.69322807775377'}",,,,,
2345365,CARNICERIA Y FRUTERIA 'LOS ALTOS' INC.,CARNICERIA Y FRUTERIA LOS ALTOS,1802424,Grocery Store,Risk 1 (High),2959 W 40TH ST ,CHICAGO,IL,60632,2019-11-08T00:00:00.000,Complaint Re-Inspection,Pass,,41.8207715298359,-87.6994068536533,"{'longitude': '41.8207715298359', 'latitude': '-87.6994068536533'}",,,,,
2345248,SHARKS FISH & CHICKEN,SHARKS FISH & CHICKEN,2699066,Restaurant,Risk 2 (Medium),8255 S KEDZIE AVE ,CHICAGO,IL,60652,2019-11-07T00:00:00.000,License,Pass w/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE CLEAN UP POLICY AND SUPPLIES. PRIORITY FOUNDATION 7-38-005 | 6. PROPER EATING, TASTING, DRINKING, OR TOBACCO USE - Comments: OBSERVED MANAGER EATING BANANA PUDDING IN FRONT PREP AREA. INSTRUCTED MANAGER TO PROVIDE A SEPARATE AREA FOR EATING OUTSIDE OF PREP AND DISH WASHING AREAS TO PREVENT CONTAMINATION OF FOOD AND FOOD EQUIPMENT. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED FOOD HANDLER NOT WEARING HAIR RESTRAINTS. ALL FOOD HANDLERS MUST WEAR EFFECTIVE HAIR RESTRAINTS. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED SOILED WIPING CLOTHS STORED ON FRYERS AND PREP TABLE. INSTRUCTED MANAGER TO STORE WIPING CLOTHS IN SANITIZING SOLUTION BETWEEN USES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED GREASE BUILDUP INSIDE FRYER CABINETS AND EXTERIOR SURFACES OF FRYERS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: OBSERVED NO HOT WATER(66.7F) AT HAND WASHING SINKS AND 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE HOT RUNNING WATER UNDER CITY PRESSURE. PRIORITY CITATION ISSUED 7-38-030(C) | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LOOSE FAUCET ON HAND WASHING SINK IN WASHROOM. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GREASE SPILLS ON FLOOR AROUND RECYCLING UNIT, DUST BUILDUP ON CEILING VENT IN DISH WASHING AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER TRAINING AVAILABLE. INSTRUCTED MANAGER TO PROVIDE FOOD HANDLER TRAINING FOR ALL EMPLOYEES.",41.742703308073345,-87.7020564330574,"{'longitude': '41.742703308073345', 'latitude': '-87.7020564330574'}",,,,,
2345239,"SAORY RESTAURANT, INC","SAORY RESTAURANT, INC",2523066,Restaurant,Risk 1 (High),2700 S TRUMBULL AVE ,CHICAGO,IL,60623,2019-11-07T00:00:00.000,Canvass,Out of Business,,41.84251234796448,-87.71122481384815,"{'longitude': '41.84251234796448', 'latitude': '-87.71122481384815'}",,,,,
2345236,GABY'S PANADERIA Y PIZZERIA,PANADERIA Y PIZZERIA LA VILLA,2550529,Bakery,Risk 1 (High),5050-5054 W FULLERTON AVE ,CHICAGO,IL,60639,2019-11-07T00:00:00.000,Canvass,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES.  MANAGEMENT INSTRUCTED TO PROVIDE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE.  PRIORITY FOUNDATION 7-38-010.  CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP PROCEDURE OR SUPPLIES ON THE PREMISES TO RESPOND TO VOMIT AND DIARRHEAL EVENTS.  MANAGEMENT INSTRUCTED TO PROVIDE BOTH.  PRIORITY FOUNDATION 7-38-005.  CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO EXPOSED HAND WASHING SINK AT THE SOUTH END OF THE FRONT PREP AREA WHERE HAND SCOOPED ICE CREAM IS SERVED.  MANAGEMENT INSTRUCTED TO INSTALL AN EXPOSED HAND WASHING SINK IN THIS AREA.  PRIORITY FOUNDATION 7-38-030(C).  CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: REPLACE THE TORN DOOR GASKETS INSIDE OF THE PIZZA PREP COOLER DOORS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: CLEAN THE GRILL, PIZZA OVEN CATCH TRAY, PIZZA PREP COOLER, AND THE PREP TABLE NEXT TO THE STAND MIXER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLEAN THE FLOOR OF THE WALK-IN FREEZER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED GREASE ON THE VENTILATION HOODS AND FILTERS ABOVE THE COOKING EQUIPMENT IN BOTH PREP AREAS.  CLEAN THE VENTILATION HOODS AND FILTERS. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: 8-404.13(B)(4)  PREVIOUS CORE VIOLATIONS FROM REPORT #2243794 ON 12/21/18 NOT CORRECTED:  37 - MUST PROVIDE PROPER LABELS ON ALL 'GRAB AND GO' FOOD ITEMS OFFERED FOR SALE.   55 - OBSERVED UNUSED EQUIPMENT AND DISPLAY CASES STORED BEHIND THE BAKERY DISPLAY. MUST REMOVE ALL UNUSED/UNNECESSARY ARTICLES, ORGANIZE, CLEAN, AND MAINTAIN AREA.  55 - OBSERVED CARDBOARD BEING USED AS FLOOR MATS IN THE REAR PREP AREA. MUST REMOVE AND PROVIDE FLOOR COVERINGS THAT ARE A NON-ABSORBENT, NON-CORROSIVE, SMOOTH, EASILY CLEANABLE SURFACE.  PRIORITY FOUNDATION 7-42-090.  CITATION ISSUED.   | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED THE INSPECTION SUMMARY REPORT FROM 12/21/18 NOT POSTED ON THE PREMISES.  THE INSPECTION REPORT SUMMARY FROM 8/24/17 WAS POSTED INSTEAD.  MANAGEMENT WAS GIVEN A COPY OF TODAY'S INSPECTION SUMMARY REPORT AND WAS INSTRUCTED TO POST IT IN VIEW OF ALL CUSTOMERS.  PRIORITY FOUNDATION 7-42-010(B).  CITATION ISSUED.",41.92425666505584,-87.7532575799249,"{'longitude': '41.92425666505584', 'latitude': '-87.7532575799249'}",,,,,
2345242,L & M FINE FOODS,L & M FINE FOODS,2631147,Grocery Store,Risk 1 (High),4361-4365 N LINCOLN AVE ,CHICAGO,IL,60618,2019-11-07T00:00:00.000,License,Pass,,41.96127036208352,-87.68358899797359,"{'longitude': '41.96127036208352', 'latitude': '-87.68358899797359'}",,,,,
2345215,YOUNG SCHOLARS ACADEMY,YOUNG SCHOLARS ACADEMY,2457551,Daycare (2 - 6 Years),Risk 1 (High),10926-10928 S WESTERN AVE ,CHICAGO,IL,60643,2019-11-07T00:00:00.000,License,No Entry,,41.69475915827217,-87.68139820828976,"{'longitude': '41.69475915827217', 'latitude': '-87.68139820828976'}",,,,,
